Using CUDA GPU
Using AdamW optimizer (lr=0.0003)
Step 0/2000  loss: 11.3254  lr: 3e-06  step_ms: 187  tok/s: 10940  ETA: 6m
Step 10/2000  loss: 11.2063  lr: 3.3e-05  step_ms: 58  tok/s: 28976  ETA: 2m
Step 20/2000  loss: 11.057  lr: 6.3e-05  step_ms: 58  tok/s: 31418  ETA: 2m
Step 30/2000  loss: 10.8384  lr: 9.3e-05  step_ms: 58  tok/s: 32333  ETA: 2m
Step 40/2000  loss: 10.5307  lr: 0.000123  step_ms: 63  tok/s: 32799  ETA: 2m
Step 50/2000  loss: 10.1261  lr: 0.000153  step_ms: 59  tok/s: 33141  ETA: 2m
Step 60/2000  loss: 9.75446  lr: 0.000183  step_ms: 58  tok/s: 33376  ETA: 2m
Step 70/2000  loss: 9.19744  lr: 0.000213  step_ms: 58  tok/s: 33536  ETA: 1m
Step 80/2000  loss: 8.44874  lr: 0.000243  step_ms: 58  tok/s: 33664  ETA: 1m
Step 90/2000  loss: 7.79245  lr: 0.000273  step_ms: 58  tok/s: 33760  ETA: 1m
Step 100/2000  loss: 6.91795  lr: 0.0003  step_ms: 58  tok/s: 33835  ETA: 1m
Step 110/2000  loss: 6.46359  lr: 0.000299979  step_ms: 58  tok/s: 33904  ETA: 1m
Step 120/2000  loss: 5.54903  lr: 0.000299918  step_ms: 61  tok/s: 33960  ETA: 1m
Step 130/2000  loss: 5.19547  lr: 0.000299815  step_ms: 61  tok/s: 33999  ETA: 1m
Step 140/2000  loss: 5.04559  lr: 0.000299672  step_ms: 58  tok/s: 34040  ETA: 1m
Step 150/2000  loss: 5.03083  lr: 0.000299488  step_ms: 58  tok/s: 34065  ETA: 1m
Step 160/2000  loss: 4.97313  lr: 0.000299262  step_ms: 59  tok/s: 34092  ETA: 1m
Step 170/2000  loss: 4.79531  lr: 0.000298996  step_ms: 58  tok/s: 34123  ETA: 1m
Step 180/2000  loss: 4.58117  lr: 0.00029869  step_ms: 59  tok/s: 34144  ETA: 1m
Step 190/2000  loss: 4.17446  lr: 0.000298342  step_ms: 58  tok/s: 34161  ETA: 1m
Step 200/2000  loss: 4.30199  lr: 0.000297954  step_ms: 58  tok/s: 34188  ETA: 1m
Step 210/2000  loss: 4.64604  lr: 0.000297526  step_ms: 59  tok/s: 34208  ETA: 1m
Step 220/2000  loss: 4.59741  lr: 0.000297057  step_ms: 58  tok/s: 34232  ETA: 1m
Step 230/2000  loss: 4.21287  lr: 0.000296548  step_ms: 58  tok/s: 34243  ETA: 1m
