
╔══════════════════════════════════════════════╗
║  SEED: 42                                   ║
║  Mode: explicit (--seed)                    ║
╚══════════════════════════════════════════════╝

Device: CUDA GPU
Backend: CUDA (fused kernels)
Config: /tmp/olmo_30M_chat.BLNTRe.conf
[µP] Initializing with base_width=256, target_width=256, width_ratio=1
[µP] Initialized 29930496 parameters
Model: 29M params (d=256, layers=4, heads=8, µP)
Step 0 loss: 10.8249 lr: 0 seq_len: 256
Step 10 loss: 10.8249 lr: 3e-05 seq_len: 256
Step 20 loss: 10.8249 lr: 6e-05 seq_len: 256
Step 30 loss: 10.8249 lr: 9e-05 seq_len: 256
Step 40 loss: 10.8249 lr: 0.00012 seq_len: 256
Step 50 loss: 10.8249 lr: 0.00015 seq_len: 256
Step 60 loss: 10.8249 lr: 0.00018 seq_len: 256
Step 70 loss: 10.8249 lr: 0.00021 seq_len: 256
Step 80 loss: 10.8249 lr: 0.00024 seq_len: 256
Step 90 loss: 10.8249 lr: 0.00027 seq_len: 256
Step 100 loss: 10.8249 lr: 0.0003 seq_len: 256
Step 110 loss: 10.8249 lr: 0.000299979 seq_len: 256
Step 120 loss: 10.8249 lr: 0.000299918 seq_len: 256
Step 130 loss: 10.8249 lr: 0.000299815 seq_len: 256
Step 140 loss: 10.8249 lr: 0.000299672 seq_len: 256
Step 150 loss: 10.8249 lr: 0.000299488 seq_len: 256
Step 160 loss: 10.8249 lr: 0.000299262 seq_len: 256
Step 170 loss: 10.8249 lr: 0.000298996 seq_len: 256
Step 180 loss: 10.8249 lr: 0.00029869 seq_len: 256
Step 190 loss: 10.8249 lr: 0.000298342 seq_len: 256
Step 200 loss: 10.8249 lr: 0.000297954 seq_len: 256
Step 210 loss: 10.8249 lr: 0.000297526 seq_len: 256
Step 220 loss: 10.8249 lr: 0.000297057 seq_len: 256
Step 230 loss: 10.8249 lr: 0.000296548 seq_len: 256
Step 240 loss: 10.8249 lr: 0.000295999 seq_len: 256
Step 250 loss: 10.8249 lr: 0.00029541 seq_len: 256
Step 260 loss: 10.8249 lr: 0.000294781 seq_len: 256
Step 270 loss: 10.8249 lr: 0.000294113 seq_len: 256
Step 280 loss: 10.8249 lr: 0.000293405 seq_len: 256
Step 290 loss: 10.8249 lr: 0.000292658 seq_len: 256
Step 300 loss: 10.8249 lr: 0.000291873 seq_len: 256
Step 310 loss: 10.8249 lr: 0.000291048 seq_len: 256
Step 320 loss: 10.8249 lr: 0.000290185 seq_len: 256
Step 330 loss: 10.8249 lr: 0.000289283 seq_len: 256
Step 340 loss: 10.8249 lr: 0.000288343 seq_len: 256
Step 350 loss: 10.8249 lr: 0.000287366 seq_len: 256
Step 360 loss: 10.8249 lr: 0.000286351 seq_len: 256
Step 370 loss: 10.8249 lr: 0.000285299 seq_len: 256
Step 380 loss: 10.8249 lr: 0.000284209 seq_len: 256
Step 390 loss: 10.8249 lr: 0.000283083 seq_len: 256
Step 400 loss: 10.8249 lr: 0.000281921 seq_len: 256
Step 410 loss: 10.8249 lr: 0.000280723 seq_len: 256
Step 420 loss: 10.8249 lr: 0.000279488 seq_len: 256
